name,hex,year,family,hue,sat,lum,r,g,b,yiq,wcag_w,wcag_k
Air force blue,#6ba4b8,1920,T,195.6°,17.78%,57.06%,107,164,184,166,2.75,7.63
Alabaster,#f2f0e6,1594,W,50.0°,2.41%,92.55%,242,240,230,263,1.14,18.38
Amaranth,#e52b50,1690,R,348.1°,57.41%,53.33%,229,43,80,107,4.38,4.79
Amber,#ffbf00,1500,Y,44.9°,100.00%,50.00%,255,191,0,207,1.65,12.70
Amethyst,#9966cc,1572,V,270.0°,25.00%,60.00%,153,102,204,139,4.10,5.13
Apricot,#ffb27f,1851,O,23.9°,33.51%,74.90%,255,178,127,213,1.76,11.93
Aqua,#08f0da,1598,T,174.3°,93.55%,48.63%,8,240,218,192,1.45,14.49
Aquamarine,#66f1c2,1598,T,159.7°,37.47%,67.25%,102,241,194,218,1.41,14.93
Ash,#b7b7b7,1374,W,0.0°,0.00%,71.76%,183,183,183,201,2.01,10.47
Aubergene,#614051,1895,V,329.1°,20.50%,31.57%,97,64,81,82,8.90,2.36
Azure,#007fff,1374,B,210.1°,100.00%,50.00%,0,127,255,116,3.83,5.48
Baby blue,#89cff0,1892,B,199.2°,25.31%,73.92%,137,207,240,211,1.71,12.25
Baby pink,#f4c2c2,1928,P,0.0°,10.87%,85.88%,244,194,194,228,1.57,13.34
Beige,#ede8d0,1887,W,49.7°,6.03%,87.25%,237,232,208,254,1.23,17.05
Bistre,#3d2b1f,1727,N,24.0°,32.61%,18.04%,61,43,31,51,13.43,1.56
Black,#000000,imm.,K,0.0°,0.00%,0.00%,0,0,0,0,21.00,1.00
Blood,#780606,imm.,R,0.0°,90.48%,24.71%,120,6,6,41,11.49,1.83
Blue,#000f9f,imm.,B,234.3°,100.00%,31.18%,0,15,159,28,13.38,1.57
Blush,#de5d83,1590,P,342.3°,33.86%,61.76%,222,93,131,145,3.50,6.00
Bone,#e3dac9,c. 1800,W,39.2°,5.37%,83.92%,227,218,201,241,1.39,15.14
Bottle green,#006a4e,1816,G,164.2°,100.00%,20.78%,0,106,78,82,6.62,3.17
Brick,#c04657,1785,R,351.6°,31.44%,51.37%,192,70,87,115,4.94,4.25
Bronze,#ce8946,1753,N,29.6°,36.36%,54.12%,206,137,70,164,2.88,7.29
Brown,#895129,c. 1000,N,25.0°,53.93%,34.90%,137,81,41,101,6.42,3.27
Bubblegum,#f58092,1975,P,350.8°,29.77%,73.14%,245,128,146,178,2.50,8.39
Buff,#e0ab76,1686,N,30.0°,26.24%,67.06%,224,171,118,198,2.05,10.26
Burgundy,#660033,1881,R,330.0°,100.00%,20.00%,102,0,51,36,13.02,1.61
Burnt orange,#be5103,1915,O,25.0°,96.89%,37.84%,190,81,3,113,4.81,4.37
Burnt sienna,#623034,1853,N,355.2°,34.25%,28.63%,98,48,52,68,10.54,1.99
Burnt umber,#8a3324,1650,N,8.8°,58.62%,34.12%,138,51,36,80,8.14,2.58
Buttercup,#f8b017,1830,Y,40.8°,78.95%,53.14%,248,176,23,198,1.87,11.21
Byzantium,#702963,1926,V,311.0°,46.41%,30.00%,112,41,99,73,9.61,2.19
Cadet blue,#5f9ea0,1915,T,181.8°,14.61%,50.00%,95,158,160,155,3.05,6.88
Camel,#c19a6b,1916,N,32.8°,20.28%,58.82%,193,154,107,176,2.59,8.10
Canary,#f9e200,1789,Y,54.5°,100.00%,48.82%,249,226,0,230,1.32,15.91
Candy apple red,#ff0800,1966,R,1.9°,100.00%,50.00%,255,8,0,82,3.97,5.29
Capri,#00bfff,1920,B,195.1°,100.00%,50.00%,0,191,255,160,2.12,9.90
Caramel,#bc7a3d,1906,N,28.8°,51.00%,48.82%,188,122,61,147,3.51,5.99
Cardinal,#c41e3a,1698,R,349.9°,73.45%,44.31%,196,30,58,86,5.84,3.59
Carmine,#960018,1523,R,350.4°,100.00%,29.41%,150,0,24,48,9.09,2.31
Carnation,#ffa6c9,1535,P,336.4°,21.14%,82.55%,255,166,201,213,1.82,11.55
Celadon,#ace1af,1627,G,123.4°,11.60%,77.84%,172,225,175,226,1.48,14.14
Celeste,#b2ffff,1535,T,180.0°,17.78%,84.90%,178,255,255,257,1.13,18.64
Cerise,#de3163,1845,P,342.7°,51.34%,53.14%,222,49,99,111,4.44,4.73
Cerulean,#007ba7,1590,B,195.8°,100.00%,32.75%,0,123,167,104,4.78,4.39
Champagne,#f7e7ce,1915,W,36.6°,8.74%,88.82%,247,231,206,256,1.22,17.28
Charcoal,#36454f,1606,K,204.0°,18.80%,26.08%,54,69,79,73,9.90,2.12
Chartreuse,#dfff00,1764,G,67.5°,100.00%,50.00%,223,255,0,242,1.14,18.44
Cherry,#d20a2e,c. 1600,R,349.2°,90.91%,43.14%,210,10,46,75,5.49,3.82
Chestnut,#954535,1555,N,10.0°,47.52%,39.61%,149,69,53,98,6.60,3.18
Chocolate,#7b3f00,1737,N,30.7°,100.00%,24.12%,123,63,0,80,8.22,2.55
Cinerous,#98817b,1661,K,12.4°,6.03%,53.92%,152,129,123,148,3.65,5.76
Cinnabar,#e44d2e,c. 1382,R,10.2°,55.49%,53.73%,228,77,46,126,3.89,5.40
Citrine,#e4d00a,1386,Y,54.5°,91.60%,46.67%,228,208,10,212,1.58,13.33
Claret,#7f1734,1547,R,343.3°,69.33%,29.41%,127,23,52,60,10.12,2.07
Cobalt,#0047ab,1777,B,215.1°,100.00%,33.53%,0,71,171,68,8.44,2.49
Coffee,#6f4e37,1695,N,24.6°,33.73%,32.55%,111,78,55,93,7.44,2.82
Copper,#c68346,1594,N,28.6°,33.51%,52.55%,198,131,70,157,3.12,6.74
Coral,#ff7f50,1513,O,16.1°,52.24%,65.69%,255,127,80,173,2.50,8.40
Cordovan,#893f45,1925,R,355.1°,37.00%,39.22%,137,63,69,92,7.34,2.86
Cream,#fdfbd4,1590,W,57.1°,8.74%,91.18%,253,251,212,272,1.05,19.93
Crimson,#dc143c,c. 1400,R,348.0°,83.33%,47.06%,220,20,60,86,4.99,4.21
Cyan,#00ffff,1879,T,180.0°,100.00%,50.00%,0,255,255,204,1.25,16.75
Ebony,#313337,1590,K,220.0°,5.77%,20.39%,49,51,55,56,12.66,1.66
Ecru,#e0cd95,1836,N,44.8°,17.24%,73.14%,224,205,149,225,1.57,13.34
Eggshell,#f0ead6,c.1930,W,46.2°,5.37%,89.02%,240,234,214,257,1.20,17.45
Eigengrau,#16161d,1905,K,240.0°,13.73%,10.00%,22,22,29,25,18.00,1.17
Electric blue,#2323ff,1884,B,240.0°,75.86%,56.86%,35,35,255,64,7.62,2.76
Emerald,#50c878,1598,G,140.0°,30.77%,54.90%,80,200,120,175,2.13,9.87
Eucalyptus,#5f8575,1946,G,154.7°,16.67%,44.71%,95,133,117,133,4.12,5.10
Fawn,#e5aa70,1789,N,29.7°,29.77%,66.86%,229,170,112,198,2.04,10.32
Flamingo,#fc8eac,1897,P,343.6°,27.50%,77.25%,252,142,172,193,2.19,9.60
Forest green,#228b22,1810,G,120.0°,60.69%,33.92%,34,139,34,110,4.39,4.78
Fuchsia,#c154c1,1892,P,300.0°,27.18%,54.31%,193,84,193,137,3.96,5.31
Gamboge,#e49b0f,1634,Y,39.4°,87.65%,47.65%,228,155,15,176,2.33,8.99
Garnet,#733635,c. 1350,R,1.0°,36.90%,32.94%,115,54,53,78,9.10,2.31
Ginger,#b06500,1548,N,34.4°,100.00%,34.51%,176,101,0,122,4.46,4.71
Glaucous,#6082b6,1671,T,216.3°,20.28%,54.51%,96,130,182,139,3.91,5.37
Gold,#ffd700,1423,Y,50.6°,100.00%,50.00%,255,215,0,224,1.40,14.97
Goldenrod,#daa520,1915,Y,42.9°,74.40%,49.02%,218,165,32,182,2.24,9.38
Grape,#6f2da8,1894,V,272.2°,57.75%,41.76%,111,45,168,83,8.03,2.62
Graphite,#333a40,1789,K,207.7°,11.30%,22.55%,51,58,64,62,11.54,1.82
Green,#00a550,c.700,G,149.1°,100.00%,32.35%,0,165,80,122,3.23,6.50
Greige,#b0a999,1975,K,41.7°,4.72%,64.51%,176,169,153,186,2.34,8.98
Grey,#898989,c. 700,K,0.0°,0.00%,53.73%,137,137,137,151,3.50,6.00
Gunmetal,#2a3439,1905,K,200.0°,15.15%,19.41%,42,52,57,55,12.74,1.65
Hot pink,#ff46a2,1910,P,330.2°,56.92%,63.73%,255,70,162,143,3.16,6.65
Hunter green,#2c5f34,1892,G,129.4°,36.69%,27.25%,44,95,52,84,7.52,2.79
Indigo,#4b0082,1289,V,274.6°,100.00%,25.49%,75,0,130,37,12.95,1.62
Iris,#5a4fcf,1916,V,245.2°,33.51%,56.08%,90,79,207,105,6.08,3.45
Ivory,#ffffe3,1385,W,60.0°,5.81%,94.51%,255,255,227,277,1.02,20.67
Jade,#00a86b,1892,G,158.2°,100.00%,32.94%,0,168,107,128,3.08,6.81
Jet,#343434,1450,K,0.0°,0.00%,20.39%,52,52,52,57,12.45,1.69
Khaki,#d5c58a,1848,N,47.2°,17.24%,68.82%,213,197,138,215,1.72,12.18
Lavender,#b57edc,1705,V,275.1°,22.60%,67.84%,181,126,220,166,3.01,6.98
Lemon,#fffb53,1598,Y,58.6°,50.89%,66.27%,255,251,83,258,1.10,19.18
Lilac,#c8a2C8,1775,V,300.0°,8.05%,70.98%,200,162,200,194,2.22,9.46
Lime,#7af50b,1890,G,91.5°,84.78%,50.20%,122,245,11,206,1.41,14.89
Magenta,#ff0090,1859,P,326.1°,100.00%,50.00%,255,0,144,93,3.71,5.65
Mahogany,#c04000,1737,N,20.0°,100.00%,37.65%,192,64,0,101,5.28,3.97
Malachite,#0bda51,c. 1200,G,140.3°,90.39%,44.90%,11,218,81,162,1.88,11.16
Mango,#fdbe02,1891,Y,44.9°,96.91%,50.00%,253,190,2,206,1.67,12.54
Marengo,#4c5866,1800,K,212.3°,14.61%,34.90%,76,88,102,95,7.25,2.90
Marigold,#eaa221,1914,Y,38.5°,65.05%,52.35%,234,162,33,185,2.17,9.69
Maroon,#800000,1789,R,0.0°,100.00%,25.10%,128,0,0,38,10.95,1.92
Mauve,#e0afff,1796,V,276.8°,18.60%,84.31%,224,175,255,216,1.79,11.75
Midnight,#272757,1915,B,240.0°,38.10%,24.71%,39,39,87,48,13.87,1.51
Mint,#adebb3,1920,G,125.8°,13.84%,80.00%,173,235,179,234,1.37,15.31
Moss,#7e8c54,1884,G,75.0°,25.00%,43.92%,126,140,84,143,3.64,5.77
Mountbatten pink,#997a8d,1940,P,323.2°,6.47%,53.92%,153,122,141,146,3.80,5.52
Mulberry,#c54b8c,1776,V,328.0°,31.44%,53.33%,197,75,140,126,4.41,4.76
Mustard,#e1ad01,1886,Y,46.1°,99.12%,44.31%,225,173,118,186,2.06,10.18
Navy,#091f92,1780,B,230.4°,88.39%,30.39%,9,31,146,41,12.94,1.62
Oat,#f2e4c3,1984,W,42.1°,10.15%,85.69%,242,228,195,251,1.26,16.66
Obsidian,#0d031b,imm.,K,265.0°,80.00%,5.88%,13,3,27,9,20.08,1.05
Ochre,#c75b12,1780,O,24.2°,83.41%,42.55%,199,91,18,124,4.26,4.93
Off-white,#f2f0ef,1925,W,20.0°,0.59%,94.31%,242,240,239,264,1.14,18.49
Olive,#636b2f,c.1400,G,68.0°,38.96%,30.20%,99,107,47,108,5.71,3.67
Onyx,#353839,1848,K,195.0°,3.64%,21.57%,53,56,57,61,11.82,1.78
Orange,#ff7538,1502,O,18.4°,63.99%,60.98%,255,117,56,163,2.67,7.85
Orchid,#ed80e9,1915,P,302.2°,27.18%,71.57%,237,128,233,185,2.37,8.87
Oxblood,#4a0000,1695,R,0.0°,100.00%,14.51%,74,0,0,22,16.26,1.29
Parchment,#f1e9d2,1880,W,44.5°,6.47%,88.43%,241,233,210,256,1.21,17.33
Peach,#ffd3ac,1588,O,28.2°,19.44%,83.73%,255,211,172,241,1.38,15.17
Periwinkle,#ccccff,1922,B,240.0°,11.11%,90.00%,204,204,255,230,1.54,13.65
Pewter,#909eae,c. 1300,K,212.0°,6.25%,62.35%,144,158,174,171,2.73,7.69
Pine green,#01796f,1923,T,175.0°,98.36%,23.92%,1,121,111,96,5.30,3.97
Pink,#ff8bc5,c. 1681,P,330.0°,29.44%,77.25%,255,139,197,194,2.15,9.75
Pistachio,#84b067,1789,G,96.2°,16.70%,54.71%,132,176,103,172,2.50,8.39
Platinum,#e5e4e2,1918,W,40.0°,0.59%,89.22%,229,228,226,251,1.27,16.53
Plum,#8e4585,1805,V,307.4°,34.60%,41.37%,142,69,133,105,6.29,3.34
Powder blue,#9eb9d4,1774,B,210.0°,11.84%,72.55%,158,185,212,199,2.03,10.34
Prussian blue,#003153,1709,B,204.6°,100.00%,16.27%,0,49,83,43,13.43,1.56
Puce,#e491a6,1806,P,344.8°,19.44%,73.14%,228,145,166,187,2.36,8.90
Purple,#9d00ff,975,V,276.9°,100.00%,50.00%,157,0,255,76,5.42,3.88
Raw sienna,#965434,1760,N,19.6°,48.51%,39.61%,150,84,52,108,5.81,3.61
Raw umber,#826644,1658,N,32.9°,31.31%,38.82%,130,102,68,117,5.34,3.93
Red,#ed2839,imm.,R,354.8°,62.94%,54.31%,237,40,57,105,4.23,4.96
Robin egg blue,#96ded1,1873,T,169.2°,16.44%,72.94%,150,222,209,221,1.54,13.67
Rose,#ff1d8d,1382,P,330.3°,79.58%,55.69%,255,29,141,112,3.61,5.81
Royal blue,#305cde,c. 500,B,224.8°,51.79%,52.94%,48,92,222,103,5.66,3.71
Ruby,#e0115f,1572,R,337.4°,85.89%,47.25%,224,17,95,89,4.76,4.41
Russet,#80461b,1562,N,25.5°,65.16%,30.39%,128,70,27,89,7.47,2.81
Rust,#b7410e,1692,O,18.1°,85.79%,38.63%,183,65,14,101,5.56,3.78
Sable,#6e403c,1225,N,4.8°,29.41%,33.33%,110,64,60,84,8.53,2.46
Safety orange,#ff7900,1950,O,28.5°,100.00%,50.00%,255,121,0,159,2.63,7.99
Saffron,#f1c338,1200,Y,45.1°,56.92%,58.24%,241,195,56,212,1.67,12.60
Sage,#bbb791,c. 1600,G,54.3°,8.97%,65.10%,187,183,145,198,2.04,10.30
Salmon,#ff7e70,1776,O,5.9°,38.96%,71.96%,255,126,112,176,2.48,8.47
Sand,#c2b280,1627,N,45.5°,14.86%,63.14%,194,178,128,195,2.11,9.97
Sapphire,#0f52ba,1430,B,216.5°,85.07%,39.41%,15,82,186,82,7.15,2.94
Scarlet,#ff2400,1250,R,8.5°,100.00%,50.00%,255,36,0,101,3.82,5.50
Sea green,#2e8b57,1598,G,146.5°,50.27%,36.27%,46,139,87,119,4.25,4.95
Sepia,#704214,c. 1800,N,30.0°,69.70%,25.88%,112,66,20,81,8.47,2.48
Shamrock,#009e60,c. 1820,G,156.5°,100.00%,30.98%,0,158,96,119,3.47,6.06
Sienna,#882d17,1760,N,11.7°,71.07%,31.18%,136,45,23,74,8.63,2.43
Silver,#c4c4c4,1481,K,0.0°,0.00%,76.86%,196,196,196,216,1.74,12.04
Sky,#87ceeb,1681,B,197.4°,24.39%,72.55%,135,206,235,209,1.74,12.06
Slate,#708090,1705,K,210.0°,6.69%,50.20%,112,128,144,138,4.05,5.18
Smoke,#bfc8c3,1594,K,146.7°,1.80%,76.67%,191,200,195,217,1.71,12.27
Snow,#fffafa,1000,W,0.0°,0.99%,99.02%,255,250,250,276,1.03,20.31
Spring green,#a7fc00,1766,G,80.2°,100.00%,49.41%,167,252,0,223,1.27,16.57
Steel,#9d9fb1,1817,K,234.0°,4.08%,65.49%,157,159,177,176,2.62,8.03
Steel blue,#4682b4,1817,B,207.3°,44.00%,49.02%,70,130,180,131,4.11,5.11
Stone,#b1a69b,1551,K,30.0°,4.51%,65.10%,177,166,155,185,2.39,8.80
Tan,#d2b48c,1590,N,34.3°,15.91%,68.63%,210,180,140,202,1.97,10.65
Tangerine,#f28500,1899,O,33.0°,100.00%,47.45%,242,133,0,164,2.58,8.13
Taupe,#483c32,1846,N,27.3°,18.03%,23.92%,72,60,50,68,10.67,1.97
Tawny,#cd5700,1460,N,25.5°,100.00%,40.20%,205,87,0,121,4.23,4.96
Teal,#069494,1917,T,180.0°,92.21%,30.20%,6,148,148,120,3.70,5.67
Terracotta,#e35336,1782,O,10.1°,51.34%,55.10%,227,83,54,131,3.78,5.56
Thistle,#d8bfd8,1892,V,300.0°,5.15%,79.80%,216,191,216,220,1.70,12.36
Turquoise,#40e0d0,1573,T,174.0°,45.71%,56.47%,64,224,208,197,1.64,12.79
Tyrian,#66023c,c. 1598,V,325.2°,96.15%,20.39%,102,2,60,39,12.81,1.64
Ultramarine,#120a8f,1598,B,243.6°,86.93%,30.00%,18,10,143,29,14.33,1.47
Umber,#635147,c. 1600,N,21.4°,16.47%,33.33%,99,81,71,93,7.50,2.80
Verdigris,#43b3ae,1312,T,177.3°,45.53%,48.24%,67,179,174,163,2.53,8.30
Vermillion,#e34234,1289,O,4.8°,52.24%,54.71%,227,66,52,119,4.12,5.10
Violet,#7f00ff,1370,V,269.9°,100.00%,50.00%,127,0,255,67,6.28,3.35
Viridian,#40826d,c. 1860,G,160.9°,34.02%,38.04%,64,130,109,121,4.53,4.63
Walnut,#5c5248,1706,N,30.0°,12.20%,32.16%,92,82,72,92,7.62,2.76
White,#ffffff,imm.,W,0.0°,0.00%,100.00%,255,255,255,281,1.00,21.00
Wine,#800032,1705,R,336.6°,100.00%,25.10%,128,0,50,44,10.69,1.96
Xanthous,#f1b42f,c. 1820,Y,41.1°,61.39%,56.47%,241,180,47,201,1.86,11.31
Yellow,#fedf00,c. 700,Y,52.7°,100.00%,49.80%,254,223,0,229,1.33,15.77
Zaffre,#0014a8,c. 1550,B,232.9°,100.00%,32.94%,0,20,168,33,12.61,1.67
